Slovak,Ukrainian
nedeľu,неділя
povedia,скажуть вони
zistím,Я з'ясую
pracujú,вони працюють
penny,копійки
nesprávne,неправильно
poklad,скарб
vyšiel,він вийшов
da,так
firmy,компаній
svedkov,свідки
ponáhľaj,поспішайте
vinný,винним
novinách,газети
chudák,бідний чоловік
okolností,обставини
doľava,ліворуч
vydržať,терпіти
bezpečne,безпечно
vplyv,вплив
neveríš,ти не віриш
kiež,будь ласка
dych,дихання
ukradli,вкрали
láskou,з любов'ю
misiu,місія
ukázala,вона вказала
bezpečnostné,безпеки
milujú,вони люблять
zbožňujem,я обожнюю
ušiel,втік
can,може
novým,новий
marcus,Маркус
umrieť,померти
km,км
jones,Джонс
vadiť,турбувати
chodia,вони ходять
hráš,ти граєш
zvládnuť,обробляти
julie,Джульєтта
dokážete,ви можете
nora,нора
brániť,захищати
ber,взяти
včas,вчасно
smutný,сумний
premýšľať,думати
nas,нас
čisto,чисто
knihe,книга
partnera,партнер
štetka,пензлик
vecami,речі
manželku,дружина
dievčat,дівчата
zabíjať,вбивати
takej,такий
uhni,геть
dôležitejšie,важливіше
diery,отвори
fľašu,пляшка
šek,перевірити
dosiahnuť,досягти
roger,зрозуміло
jen,просто
inému,до іншого
tašku,сумка
správna,правильно
pomoci,допомогти
starosť,заклопотаність
fungovalo,це спрацювало
blízkosti,близькість
vášmu,твоя
boji,боротися
ľad,лід
rakovinu,рак
zavolá,подзвонить
nachádza,знахідки
prakticky,практично
naň,на нього
budova,будівля
sara,Сара
podmienky,умови
inými,іншими
nejakom,якось
piče,сука
mačka,кішка
bežať,бігти
verejnosti,громадськості
tadeto,тут
extra,додатковий
múdry,мудрий
lois,Лоїс
pusť,відпустити
nevadilo,це не мало значення
hotová,зроблено
bratranec,двоюрідний брат
začnite,почати
divný,дивно
veľkom,великий
bohatý,багатий
istú,певний
casey,Кейсі
veľkých,великі
úteku,втеча
dcérou,дочка
firma,компанії
peniazmi,гроші
vesmíre,Всесвіт
úrad,офіс
schôdzku,зустріч
rokom,рік
vypočuť,слухати
zabíja,вбиває
doprava,транспорт
stanice,станція
beckettová,Беккет
povinnosť,зобов'язання
stretnutia,зустрічей
ostrove,острів
rory,Рорі
červená,червоний
with,з
navrhujem,Я пропоную
vzrušujúce,захоплюючий
kurz,курс
anne,Енн
dostatok,досить
zastreliť,стріляти
dávajú,вони дають
otvoril,відкрито
svadbe,весілля
búrka,шторм
mas,у вас є
kang,канг
sleduje,спостерігає
budovu,будівля
vybaviť,обладнати
prsia,грудей
novom,новий
nanešťastie,на жаль
životov,життя
armádu,армія
tae,тае
večeri,вечір
divne,дивно
poznala,вона знала
vesmír,Всесвіт
black,чорний
up,вгору
zostaneš,ти залишишся
telefónu,телефон
fotka,фото
johna,Джон
leží,брехня
kúpim,Я куплю
pojeb,до біса
larry,Ларрі
tisíce,тисячі
nebi,небо
nerobil,він цього не зробив
zabudnite,забудь це
medzitým,тим часом
kapitána,капітан
chlapcom,хлопці
rebecca,Ребекка
andrew,Андрій
svetu,світ
neprišla,вона не прийшла
nasledovať,слідувати
crane,кран
bratovi,брат
vhodné,відповідний
big,великий
futbal,футбол
nenechaj,не дозволяй
plyn,газ
know,знати
hannah,Ханна
starú,старий
vstaň,встати
bojoval,він воював
objaví,з'явиться
nášmu,наш
sieť,мережі
kostola,церква
stenu,стіна
prineste,принести
zabiješ,ти вб'єш
pokúsim,Я спробую
udalosti,події
mieri,цілі
nápady,ідеї
informácií,інформації
nerozumieš,ти не розумієш
audrey,Одрі
stráže,охоронці
nedokážeš,ти не можеш
žiadnych,немає
kamoši,друзі
motor,двигун
počasie,погода
pochádza,походить з
nosí,носить
armáde,армія
pevne,міцно
odíde,він йде
oproti,протилежність
aah,ааа
domova,додому
pozvať,запросити
cťou,з честю
najal,найнятий
pomyslel,— думав він
biť,бити
úloha,завдання
mysle,розум
jedinú,єдиний
trhu,ринку
počet,розраховувати
taxík,таксі
centrum,центр
vymyslel,винайшли
bejby,немовлята
pomóc,допомогти
informáciu,інформації
synovi,син
zavolali,вони дзвонили
slovami,зі словами
zvierat,тварини
prach,пил
oco,тато
zvládneme,ми можемо керувати
pacientov,пацієнтів
šoférovať,водити
piatich,п'ять
bývam,я живу
držím,Я тримаю
vinu,почуття провини
bravo,браво
rana,рана
pole,поле
podvod,шахрайство
samovraždu,самогубство
londýne,Лондон
rozprávala,вона говорила
vysokú,висока
nohách,ноги
brány,ворота
nepriateľov,вороги
lesa,ліс
objavili,виявлено
operácie,операції
r,r
kancelária,офіс
červený,червоний
el,ел
totiž,а саме
pokúšal,він намагався
dostaňte,отримати це
rodičom,батьки
prirodzene,природно
názov,назва
domáce,вітчизняні
novinky,новини
pekle,пекло
tretej,третій
kabát,пальто
ľuďoch,людей
zrušiť,скасувати
blbý,дурний
jeremy,Джеремі
ináč,інакше
catherine,Катерина
odpusť,пробачити
perfektný,ідеальний
použi,використовувати
svedka,свідок
zavrieť,закрити
dňoch,днів
zatknúť,арештовувати
bezo,без
londýna,Лондон
chod,курс
klient,клієнт
dokonalý,ідеальний
istotu,визначеність
nepočujem,Я не чую
nedeje,не відбувається
chvíľa,момент
záchranu,порятунок
maggie,Меггі
cely,клітини
nespomínam,Я не пам'ятаю
carrie,Керрі
hovorte,говорити
úmysle,намір
one,вона
dotknúť,торкатися
rozmýšľam,Я думаю
nastúp,підійти
mýliš,ти помиляєшся
toby,тобі
posledného,останній
vypni,вимкніть це
min,хв
priniesli,вони принесли
dohodnuté,узгоджено
slabý,слабкий
pištoľ,пістолет
dedko,дідусь
šialená,божевільний
pasca,пастка
pôjdu,вони підуть
rozprávam,я розмовляю
this,це
amerika,Америка
dovolenku,відпустка
zákona,закону
chlapovi,до хлопця
súčasť,компонент
taylor,Тейлор
podpísať,підписувати
upokojte,заспокойся
vyžaduje,вимагає
zlú,погано
bla,бла
zvlášť,окремо
hlavné,основний
urobia,вони зроблять
dvadsať,двадцять
hlásenie,звітність
odídeš,ви йдете
mitch,Мітч
most,міст
koľkokrát,скільки разів
dôveru,довіра
bozk,поцілунок
agenti,агентів
najmä,особливо
súdu,суд
gary,Гері
výsledok,результат
nestojí,воно того не варте
nádhera,краса
bordel,безлад
spomaľ,уповільнити
utorok,вівторок
napadol,напали
návrat,повернення
spôsobil,спричинений
prst,палець
mat,мат
kontrolovať,контролювати
tma,темрява
spoznala,впізнала вона
zvykol,звикли
takúto,як це
agenta,агент
hluk,шум
jednoduchšie,легше
otázkou,із запитанням
okna,вікна
prestala,вона зупинилася
monštrum,монстр
zbabelec,боягуз
viedol,вів
take,так
sestrou,сестра
snažíte,ви спробуйте
ulicu,вулиця
situácie,ситуації
špeciálny,спеціальні
zájsť,йти
použili,вони використовували
robotu,робот
dverách,двері
rozišli,вони розлучилися
plnú,повний
mladé,молодий
angeles,Анджелес
ponuka,пропозиція
tromi,три
úlohy,завдання
káva,кава
dylan,Ділан
strede,в середині
skrátka,коротше кажучи
chystám,Я збираюся
zadrž,утримувати
doug,Дуг
vecou,річ
nedostaneš,ти не отримаєш
začnime,давайте почнемо
skrýva,ховається
dobrej,добре
nervózna,нервовий
skočiť,стрибати
ponúkol,він запропонував
kráľom,король
psov,собаки
bolieť,боляче
oddelenia,відділів
zatkli,заарештований
arthur,Артур
infarkt,інфаркт
kokot,лиска
taky,теж
veľkou,великий
vek,вік
hostí,гостей
úder,удар
zdravý,здоровий
zlaté,золотий
zničí,знищить
radosťou,з радістю
charlotte,Шарлотта
tvrdý,важко
nešiel,він не пішов
postav,фігура
storočia,століття
hlad,голод
verila,вона вірила
naveky,назавжди
tadiaľ,там
prosim,будь ласка
zabrániť,запобігти
skvelo,чудово
rýchly,швидко
g,пан
krava,корова
angela,ангел
neďaleko,поруч
rešpekt,повага
alibi,алібі
kyle,Кайл
joo,так
uvedomila,вона зрозуміла
jediným,єдиний
niečomu,до чогось
žiadneho,немає
kara,пенальті
nechá,дозволять
stránku,сторінки
spánku,сон
paige,Пейдж
vľavo,зліва
babka,бабуся
slobodný,неодружений
dcére,дочка
zmizli,вони зникли
hodinou,годину
pýtala,— запитала вона
hrozná,жахливий
hľadala,вона шукала
druhu,вид
nebezpečenstve,небезпека
hong,hong
živého,живий
vedúci,керівник
omyl,помилка
vyšlo,це вийшло
znamenalo,мав на увазі
štvrtok,четвер
linda,Лінда
štyria,чотири
položiť,покласти вниз
potichu,тихо
mária,Марія
pan,пан
počúvaš,ти слухаєш
prestali,вони зупинилися
varovať,попередити
vyspať,сон
mesiaca,місяць
dátum,дата
nepríjemné,неприємний
daphne,Дафна
zlých,погані
presvedčený,переконаний
stojím,Я стою
vlaku,поїзд
prázdne,порожній
neveril,— не вірив він
jennifer,Дженніфер
súťaž,змагання
sekundy,секунд
obľúbený,улюблений
nebo,небо
vražde,вбивство
podiel,частка
osoby,осіб
nočná,нічний спосіб життя
dokonalé,ідеальний
vrátia,вони повертаються
premýšľam,Я думаю
psy,собаки
adresa,адресу
hodí,підходить
greg,Грег
zasraný,облажався
nezabudnite,не забудь
plávať,плавати
posily,підкріплення
nenašiel,не знайшов
kontakte,контакт
vstúpiť,введіть
fanúšik,вентилятор
ellen,Елен
stôp,ноги
počkáme,ми будемо чекати
nádeje,надія
vďačný,вдячний
zdroje,ресурси
skvelú,чудово
známe,відомий
sľúbila,— пообіцяла вона
fred,Фред
sľúb,обіцянка
materiál,матеріал
ll,II
komplikované,складний
zničili,зруйновано
vyjsť,вийти
šéfka,бос
ničím,нічого
zariadiť,влаштовувати
poobede,у другій половині дня
ťažšie,важче
minútami,хвилин
han,Хан
jazdiť,диск
dával,дав
farba,колір
nahnevaná,злий
hodinami,години
uvidel,він бачив
out,поза
vajcia,яйця
smutná,сумний
vrchol,пік
rodney,Родні
postará,подбає
stredu,Середа
prinesie,принесе
obrázok,малюнок
ostane,залишиться
prdel,дупа
ethan,етан
vlastní,власні
spýtaj,запитати
zaujímať,інтерес
hrajú,вони грають
vytvorili,створений
plne,повністю
jak,як
vies,ви знаєте
používajú,вони використовують
konkrétne,конкретно
najesť,їсти
pozorne,ретельно
väčšiu,більший
ľudská,людини
večnosť,вічність
stromy,дерева
pilot,пілот
pozrela,вона подивилася
skurvysyn,сучий син
sestre,сестра
nemocnica,ЛІКАРНЯ
obliecť,одягатися
smiať,сміятися
krídla,крила
vytiahnuť,витягнути
priebehu,звичайно
kávy,кави
ďalšej,наступний
zmätený,збентежений
súhlasiť,погоджуватися
histórii,історії
em,ем
centra,центр
vypadnime,давай вибиратися
prvých,перші
odstrániť,видалити
výborné,відмінно
rieky,річки
vojsť,введіть
sviňa,свиня
takýchto,такий
korekcia,корекція
nehýbte,не рухайся
nádherne,красива
spôsoby,шляхи
úrovni,рівень
varovanie,УВАГА
choroba,захворювання
približne,приблизно
pauzu,пауза
zásah,втручання
priateľky,подруги
tvojimi,твоя
podozrenie,підозра
popravde,дійсно
heslo,пароль
privádza,приносить
dávaš,ви даєте
koncert,концерт
príklad,приклад
letisku,аеропорт
myslim,Я маю на увазі
riešiť,вирішити
loptu,м'яч
spôsobiť,викликати
sledovali,спостерігали
pobozkať,цілувати
čakaj,чекати
marty,березень
vošiel,він увійшов
kostole,церква
jacob,Джейкоб
brána,ворота
členom,членів
stopa,трек
sledujte,годинник
začneš,ти починаєш
dôkazov,докази
veľkosť,розмір
dúfala,вона сподівалася
vstup,запис
akékoľvek,будь-який
eun,eun
dispozícii,доступний
duchov,духів
baba,дитина
firmu,компанії
den,день
zomrieme,ми помремо
motív,мотив
lietadle,літак
nepotrebuje,не потребує цього
hodnotu,значення
ľutovať,жаль
sendvič,бутерброд
stanica,станція
dne,день
hory,гори
banda,пучок
bomby,бомби
stretnutí,зустрічей
mýlil,він помилявся
stupňov,ступенів
stephen,Степан
skrývať,приховати
súhlasil,він погодився
niekoľkých,кілька
cas,час
starosta,міський голова
palubu,колода
wayne,Вейн
stratený,втрачено
krása,краса
úlohou,завдання
vysvetľuje,пояснює
vyhnúť,щоб уникнути
dôchodku,пенсія
nemysli,не думай
mamka,мама
pizzu,піца
spravodlivosti,справедливість
kamene,каміння
srdcom,серце
americký,американський
skrz,через
rovnakú,те саме
mladí,молодий
vzdal,здався
okamih,момент
zlomil,зламався
senátor,сенатор
obvykle,зазвичай
jordan,Йорданія
vpravo,праворуч
veria,вони вірять
st,св
prítomnosť,наявність
umrel,він помер
kožu,шкіри
planéta,планета
vnútra,всередині
victor,Віктор
najvyšší,найвищий
obzvlášť,особливо
jae,так
najväčšia,найбільший
ublížil,боляче
vyhrala,вона перемогла
fuk,лайно
pohnite,рухатися
zaberie,візьме
dovolil,дозволено
dnešok,сьогодні
nečakal,він не очікував
plno,повний
ostáva,залишається
tabletky,таблетки
nadšený,схвильований
pamätajte,запам'ятати
neni,це не так
uniesli,викрадений
úbohé,жалюгідний
barry,Баррі
polnoci,опівночі
spoznali,вони впізнали
jednému,до одного
teória,теорія
pacienta,пацієнт
väčšia,більший
slova,слова
vyše,вище
ci,ci
služba,обслуговування
farbu,колір
slzy,сльози
max.,макс.
bratov,брати
bojovník,воїн
prebrať,взяти на себе
mladých,молодий
are,є
skupine,група
pravú,правильний
obdobie,період
odmietol,він відмовився
zložité,складні
áut,автомобілі
spadla,вона впала
spýtam,я запитую
nočné,нічний спосіб життя
hrdá,гордий
ranu,рана
vymeniť,обміняти
nehodu,нещасний випадок
zámok,замок
chvíľou,за мить
štát,стан
scenár,сценарій
krvou,кров
olivia,Олівія
policajta,поліцейський
reštaurácie,ресторани
telefónne,по телефону
akosi,якось
hrám,я граю
výhľad,переглянути
vela,багато
priateľovi,до друга
úvahy,міркування
ukradla,вона вкрала
trh,ринку
uvedomuješ,ти розумієш
správach,повідомлення
členov,членів
carol,Колядка
miles,миль
roy,Рой
nevšimol,не помітив
učil,навчив
tovar,товарів
zastaví,зупиняється
model,модель
juh,південь
vyraziť,відправлятися в дорогу
syr,сир
seriem,серії
pustil,він відпустив
nevyhnutné,необхідно
kom,ком
yoon,Юн
priznal,— зізнався він
verili,вони вірили
konať,діяти
obetí,жертви
les,ліс
istom,напевно
nanič,безрезультатно
sústreď,концентрат
sexuálne,сексуально
úbohý,жалюгідний
odchádzaš,ти йдеш
chlieb,хліб
démon,демон
zobudil,прокинувся
hee,хі
perfektne,ідеальний
zabite,вбити
dôvody,причини
skurvené,облажався
gwen,Гвен
nepriateľa,ворог
povedat,сказати
člen,член
dievčaťa,дівчина
eva,Єва
helen,Хелен
prehliadku,тур
domom,додому
harper,арпер
ricky,Рікі
trieda,клас
mačky,коти
padaj,впасти вниз
obrovská,величезний
bruce,брюс
technicky,технічно
kosť,кістка
pridaj,додати
just,просто
zarobiť,заробляти
pripadá,падає
dokumenty,документів
obľúbená,улюблений
internet,Інтернет
dohody,угоди
nam,нас
wendy,Венді
stála,вона стояла
postavili,вони побудували
jedinou,єдиний
vysokej,висока
neuveriteľne,неймовірно
nedám,не дам
nepozná,він не знає
akí,що
happy,щасливий
wilson,вілсон
povinnosti,зобов'язання
jednoznačne,однозначно
chyťte,зловити це
hlasy,голоси
kamaráta,друг
venovať,присвятити
západ,захід
prechádza,проходить
prípady,випадків
akcia,дію
písal,написав
prekliate,проклятий
prináša,приносить
manželom,чоловік
drobné,маленький
chces,ти хочеш
ťah,рухатися
bytosti,істоти
úprimná,щирий
ťažká,важкий
pravidiel,правил
krátko,коротко
hodina,годину
pozície,позиції
kňaz,священик
p,пан
nedostatok,відсутність
opakovať,повторити
zákony,закони
existovať,існувати
kuchyne,кухня
obávať,хвилюватися
vidia,вони бачать
ľudskej,людини
mori,море
beží,працює
jin,Джин
roz,дистр
násilie,насильство
vystrašený,наляканий
veľkosti,розміри
zaslúžiš,ти заслуговуєш
l.a.,л.а.
vymyslieť,винаходити
stránky,сторінки
väzenie,в'язниця
nastal,сталося
začínajú,вони починають
prstov,пальці
spojené,підключений
vzťahy,стосунки
horí,воно горить
zavraždený,убитий
pozdrav,вітання
vystopovať,вистежити
predávať,продавати
derek,Дерек
zariadenia,пристроїв
eli,eli
rovnakej,те саме
spôsobuje,причини
silou,силою
diera,отвір
programu,програма
tiez,теж
junior,молодший
chýbala,вона пропала
jedol,їв
nenávidí,він ненавидить
medveď,ведмідь
oliver,Олівер
jesse,Джессі
američania,американці
starec,старий чоловік
pero,перо
zmizne,зникає
úplný,повний
ďalším,інший
soo,так
dohodnúť,погоджуватися
labáku,лабак
scotty,скотті
terry,Террі
dobrom,добре
hýbať,рухатися
west,захід
dediny,сіл
marie,Марі
podme,піді мною
vynikajúce,відмінно
pokúsiť,спробувати
nevrátim,Я не повернусь
percent,відсотків
zamestnancov,працівників
istej,впевнений
spoločného,поширений
ledva,ледве
smith,коваль
dookola,навколо
zoženiem,Я його отримаю
podať,подати
výbuch,вибух
mnohí,багато
rodičmi,батьки
okná,вікна
nula,нуль
howard,Говард
dážď,дощ
krátky,короткий
trikrát,тричі
obvinenia,звинувачення
vravíte,ти кажеш
doktorom,лікар
starí,старий
jonathan,Джонатан
sprostý,непристойний
modré,блакитний
zábavy,розваги
južnej,південний
zbytočné,непотрібний
ustúp,відступ
najhorší,найгірший
utiekla,вона втекла
strechu,дах
nedáš,ти не можеш
pripravil,підготовлений
mieru,спокій
doktorovi,до лікаря
girl,дівчина
uži,насолоджуватися
zbláznila,вона збожеволіла
basy,бас
serena,Серена
paríži,Париж
čarodejnica,відьма
mamička,мати
univerzite,університет
postaraj,піклуватися
potreby,потреби
nebezpečenstvo,небезпека
príďte,давай
štátu,держави
ženami,жінками
strýka,дядько
dieťaťom,дитина
subtitles,субтитри
skúsil,він намагався
dones,принести
útek,втеча
sedím,я сиджу
king,король
pulz,пульс
prázdny,порожній
pôsobivé,вражає
osobný,особистий
priateľstvo,дружба
hráč,гравець
životu,життя
vlastným,власні
snov,мрії
nancy,Ненсі
sandy,піщаний
skutočnosť,факт
znelo,прозвучало
nazýva,він називає це
krista,Христос
prejav,мова
martha,Марта
odpad,відходи
človeku,людина
kamoško,приятель
zlí,погано
pas,паспорт
ukázali,вони показали
čaute,до побачення
ziva,живий
mäsa,м'ясо
bojovali,вони билися
blahoželám,вітаю
slávny,відомий
but,але
druhy,інші
urážky,образи
peknú,приємно
reštaurácii,ресторан
guľka,куля
nezvyčajné,незвичайний
minister,міністр
zmysle,значення
závisí,це залежить
stoja,вони стоять
potuchy,підказка
napokon,адже
nedostaneme,ми не отримуємо
zaujímavý,цікаво
nathan,Натан
zamilovaný,закоханий
tym,цим
stráž,сторожовий
ludia,людей
udalosť,подія
múdre,мудрий
vedomie,свідомість
denník,щоденник
walt,Уолт
vyšetrovania,розслідування
požiar,вогонь
nepamätáš,ти не пам'ятаєш
kroky,кроки
narazil,натрапив на
body,балів
hanba,сором
kamarátov,друзі
sestrička,медсестра
time,час
nedostanem,Я не розумію
mulder,Малдер
obeťou,жертва
pýta,— запитує він
pozvala,запросила вона
b.,b.
naokolo,навколо
svadby,весілля
popoludnie,полудень
nablízku,поруч
rieke,річка
kolo,круглий
zisti,дізнатися
očakávať,очікувати
nešlo,це не спрацювало
get,отримати
ved,наука
priateľkou,подруга
tréning,навчання
všimla,помітила вона
posiela,надсилає
časoch,разів
poznámky,примітки
hrala,вона грала
poplach,тривога
silnejšie,сильніше
internete,Інтернет
nepovie,він не скаже
walker,ходунки
duchovia,духів
svätý,святий
penis,пеніс
kozy,кози
počúval,він слухав
berte,взяти
rozlúčiť,попрощатися
položte,покласти вниз
žiadni,немає
ostal,він залишився
skontroluj,перевірити
mac,мак
zjedol,їв
najdôležitejšie,найважливіше
cestovať,подорожувати
ryba,риба
srať,лайно
vyčistiť,прибирати
never,не вірте
božemôj,Боже мій
zbraňami,зброї
had,змія
dôverovať,довіряти
šéfom,бос
zatvorené,ЗАЧИНЕНО
službe,обслуговування
vydala,видається
odpustiť,пробачити
slečnu,Міс
vedenie,управління
absurdné,абсурд
manažér,менеджер
stretnem,я зустріну
podpis,підпис
dennis,Денніс
rovnaká,те саме
pohľadu,переглянути
like,як
odznova,знову
skok,стрибати
predstavujem,Я представляю
milosť,благодать
schodoch,сходи
píš,писати
podozrivého,підозрюваний
lov,полювання
žalúdok,живіт
síl,сила
zábavný,смішно
odíďte,залишити
kúpili,вони купили
obľúbené,улюблений
dopadne,виявляється
betty,Бетті
chystáš,ви плануєте
alarm,тривога
zohnal,отримав це
vysoká,висока
slúžiť,служити
nezabudnem,Я не забуду
starká,стара жінка
následky,наслідки
prestávku,перерва
energia,енергії
bohovia,боги
nezmení,не зміниться
krvácanie,кровотечі
prežitie,виживання
bytosť,буття
neger,негр
zdvihnúť,підняти вгору
postup,процедура
vysoké,висока
porno,порно
pery,губи
patty,пиріжок
trávu,трава
lodí,кораблі
minulých,минулі
drevo,деревина
tábor,табір
nejakí,деякі
tajnosti,таємниці
narodila,народився
minimálne,принаймні
zničila,зруйновано
dovi,dovi
kura,курка
mapu,карта
cele,клітини
niekoľkými,кількома
oboje,обидва
platia,вони платять
skutočnú,справжній
symbol,символ
akých,який вид
rozumel,зрозумів
žiada,— запитує він
robte,робити
falošný,підробка
nepôjdeš,ти не підеш
tlač,преса
odmenu,винагорода
preňho,для нього
straty,втрати
hocikto,хто завгодно
prekvapená,здивований
oznámiť,оголосити
edward,Едвард
kôli,навколо
x,х
doktori,лікарі
umenia,ст
drog,ліки
klienta,клієнт
výročie,ювілей
majiteľ,власник
dedo,дідусь
vlk,вовк
opatrná,обережний
pohotovosť,надзвичайна ситуація
chaos,хаос
sladký,солодкий
linke,лінія
predstavte,уявіть собі
viera,віра
ist,іст
silnejší,сильніше
neporiadok,безлад
jessica,Джессіка
misie,місія
popoludní,у другій половині дня
ceny,ціни
šialenstvo,божевілля
činy,дії
úradu,офіс
kontroly,елементи керування
svedkom,свідок
bavili,їм було весело
podrž,утримувати
základňu,база
balík,пакет
biela,білий
dana,дано
dlh,борг
postaral,подбав про
voľné,безкоштовно
patria,вони належать
naživo,жити
zradca,зрадник
dozvedieť,дізнатися
bral,взяв
nemusela,їй не довелося
malým,маленький
nemaj,не мають
odznak,значок
rolu,роль
tému,тема
nesedí,це не підходить
tajný,секрет
obchody,магазини
dnešný,сьогоднішній
bitka,бій
postoj,ставлення
artuš,Артур
súkromný,приватний
sophie,Софі
posadnutý,одержимий
dokonale,ідеально
šampanské,шампанське
herec,актор
držia,вони тримають
odlož,відкласти
chorobu,захворювання
najlepšieho,найкращий
pomáhal,допоміг
volaj,дзвінок
druhým,за другим
tip,чайові
xena,ксена
paríža,Париж
údaje,даних
žiadať,попросити
bláznivé,божевільний
častiach,частин
zemou,землею
donesiem,Я привезу
zbytočne,без потреби
zmrzlinu,морозиво
niesom,я ні
skryť,приховати
strávila,витрачено
fakty,факти
nehode,аварія
berú,вони беруть
telke,телевізор
píšem,Я пишу
menší,менше
chlapcovi,до хлопця
zoe,зої
tvrdia,вони стверджують
extrémne,надзвичайно
súdny,судовий
neurobili,вони цього не зробили
vážny,серйозний
piatimi,на п'ять
zlez,зійти
výkon,продуктивність
zaplatí,заплатить
horúce,гарячий
vychádza,виходить
cooper,бондар
carter,візник
poznajú,вони знають
určité,певний
zničený,зруйновано
pil,випив
zostaneme,ми залишимося
pusu,поцілунок
lepšiu,краще
nejdeme,ми не йдемо
malom,маленький
cítili,вони відчували
slečny,Міс
opustili,вони пішли
žartujem,Я жартую
pozerala,вона спостерігала
trpezlivosť,терпіння
zabitie,вбивство
emócie,емоції
nestrieľajte,не стріляй
hoď,кинути
strih,вирізати
obyčajne,зазвичай
ex,пр
francúzska,Франція
zvládol,він впорався
vrecku,кишеню
zvuky,звуки
rukavice,рукавички
telku,телевізор
heather,верес
ibaže,крім
chrbte,назад
hotovosti,готівкою
vyhrá,переможе
legálne,законно
viny,почуття провини
takomto,як це
kópiu,копія
dielo,працювати
veda,наука
vzorky,зразки
očakáva,очікує
najlepšiu,найкращий
vole,чувак
russell,Рассел
páčil,сподобався
strašidelné,страшно
fíha,фу
pozornosti,уваги
zastavím,я зупинюся
vážení,дорогі
pustili,вони відпустили
ležať,лягти
idioti,ідіоти
tíme,команда
kože,шкіра
vládu,уряд
obvinený,обвинувачений
začíname,ми починаємо
takáto,як це
mladého,молодий
francúzsky,французька
ocka,тато
guľku,куля
hodine,годину
miami,Маямі
nechajme,давай залишимо це
súhlas,згода
scénu,сцена
užite,насолоджуватися
nesmieme,ми не повинні
otvorený,ВІДЧИНЕНО
pochopila,вона зрозуміла
zamknuté,заблокований
diane,події
starostlivosť,догляд
padáka,парашут
smer,напрямок
dňom,день
severnej,північний
stojíš,ти стоїш
informovať,інформ
špinavé,брудний
frajer,чувак
prehral,він програв
výborný,відмінно
ktovie,хто знає
oka,око
čurák,член
barb,борідка
pravdy,правда
base,база
opýtal,запитав він
vajíčka,яйця
barney,Барні
predstava,уява
rozmýšľala,— подумала вона
naviac,крім того
rovnakom,те саме
poriadny,належне
kráľovstvo,королівство
kecy,фігня
prestane,зупиниться
osamelý,самотній
darčeky,подарунки
bavíme,ми веселимося
nenávidieť,ненавидіти
ľudstvo,людство
kanceláriu,офіс
umyť,мити
roboty,роботів
piesne,пісні
inam,в іншому місці
hlavná,основний
skurvená,блядь
zastavila,вона зупинилася
variť,готувати
dopadlo,виявилось
získala,вона отримала
tetovanie,татуювання
tábora,табір
nepočuli,вони не чули
sammy,Семмі
pochybnosti,сумніви
susedia,сусіди
šialene,божевільний
zranenia,травми
neprišli,вони не прийшли
snaž,спробувати
správaš,ви керуєте
michaela,Майкл
bastardi,сволочі
streche,дах
objavila,вона виявила
telom,тіло
načas,вчасно
zomrú,вони вмирають
te,ти
zub,зуб
mladší,молодший
hodinách,години
televízii,телебачення
cass,cass
otočiť,обернутися
berieme,ми беремо
dovolíte,ви дозволяєте
there,там
lúpež,пограбування
legenda,легенда
titul,назва
pokúšam,Я стараюсь
slepý,сліпий
míle,миль
bieleho,білий
tretia,третій
leon,леон
todd,Тодд
gonna,збираюся
premýšľala,— подумала вона
letieť,літати
pláž,пляж
kusy,штук
spustiť,бігати
zradil,зрадив
božie,Бог
modrá,блакитний
odídeme,ми підемо
megan,Меган
príjemný,приємний
pásku,стрічка
podpísal,підписаний
milióna,мільйон
nepodarilo,не вдалося
poriadok,порядок
termín,крайній термін
rameno,плече
dvore,ярд
súkromné,приватний
zažil,досвідчений
zožeň,отримати це
priviedla,вона принесла
zabilo,це вбило
menia,вони змінюються
prinútiť,змушувати
krádež,крадіжка
oceňujem,Я ціную це
záhrade,сад
zvnútra,зсередини
vyrovnať,осідати
vhodný,підходить
desivé,страшно
carlos,Карлос
sanitku,швидка допомога
páľ,вогонь
prepínam,Я перемикаюся
right,правильно
j,j
prekrásne,красива
potvrdiť,для підтвердження
firme,до компанії
tme,темрява
sne,мрія
lano,мотузка
neber,не беріть
atlantis,Атлантида
vajce,яйце
možností,параметри
vtipný,смішно
najväčšie,найбільший
cigarety,сигарети
študent,студент
preukaz,пропуск
fajčiť,палити
hráme,ми граємо
nebezpečná,небезпечний
vystrašená,наляканий
banke,банку
akciu,дію
who,ВООЗ
nenechajte,не дозволяй
prázdna,порожній
samovražda,самогубство
chicago,Чикаго
prijali,прийнято
obrany,захист
volanie,виклик
ohľadne,щодо
hranicu,кордону
pyšný,гордий
odpustenie,прощення
zomiera,вмирає
zločinu,злочинність
záznamov,записи
ľudský,людини
jednotku,одиниця
ovocie,фрукти
domy,будинки
piatej,п'ятий
žiadal,запитав він
oddelení,відділів
margaret,Маргарет
prvým,перший
priveďte,принести
tieň,тінь
čoraz,все частіше
páčiš,тобі подобається
nerada,їй це не подобається
novín,газета
zaplatili,вони заплатили
lane,олень
skontrolujte,перевірити
babiek,бабусі
vašimi,твоя
nenávisť,ненависть
počítať,розраховувати
adrian,Адріан
obleč,одяг
vlasov,волосся
mágia,магія
objednal,замовив
